,random_shootingepisodeReward,mppiepisodeReward,cemepisodeReward
0,-111.07745979686673,,
1,-77.80443757279724,,
2,-86.75734093134659,,
3,-101.5441451931717,,
4,-108.46012958872302,,
5,-178.6345235383993,,
6,-91.83344866538467,,
7,-135.43556519017145,,
8,-95.09671813670649,,
9,-159.21976942791753,,
10,,-108.10303857568371,
11,,-78.40180023353412,
12,,-84.9114526905527,
13,,-100.62046994078318,
14,,-108.26722094103712,
15,,-175.68665557562028,
16,,-87.66114146697132,
17,,-135.91195996084332,
18,,-99.57249893475932,
19,,-154.67272136957513,
20,,,-108.33708139298474
21,,,-77.4127854342883
22,,,-83.47283362597976
23,,,-99.79042339311667
24,,,-107.09060583832398
25,,,-169.13099357759637
26,,,-92.06940409063836
27,,,-133.96051149733415
28,,,-101.32336923004178
29,,,-160.9650295419094
