,random_shootingepisodeReward,mppiepisodeReward
0,-111.07745979686673,
1,-77.80443757279724,
2,-86.75734093134659,
3,-101.5441451931717,
4,-108.46012958872302,
5,-178.6345235383993,
6,-91.83344866538467,
7,-135.43556519017145,
8,-95.09671813670649,
9,-159.21976942791753,
10,-144.87209333149605,
11,-104.88220753675263,
12,-145.97674024407743,
13,-159.28487649245002,
14,-128.82270522378465,
15,-142.83536159199377,
16,-106.07220187622038,
17,-124.4557765786914,
18,-97.94023349041726,
19,-84.45588213694015,
20,-127.61785561475278,
21,-150.1082789495906,
22,-102.25203176079815,
23,-102.80924876711762,
24,-125.56702206622757,
25,-83.0168461415872,
26,-165.21903099176424,
27,-80.41502277610462,
28,-109.56088096992283,
29,-94.21073546531989,
30,-162.0110443122284,
31,-78.90105102717533,
32,-160.06358821544862,
33,-131.38416485998445,
34,-145.76351082013304,
35,-123.0218872042698,
36,-99.28171827818619,
37,-123.47212362842923,
38,-176.2544091769687,
39,-160.2607958827346,
40,-176.12591742073062,
41,-162.6100628830019,
42,-113.4499471535127,
43,-187.11804384577238,
44,-105.16911691696858,
45,-190.21478092482283,
46,-186.59065839750554,
47,-125.18408167919077,
48,-109.22932444125487,
49,-152.91577113601764,
50,,-108.10303857568371
51,,-78.40180023353412
52,,-84.9114526905527
53,,-100.62046994078318
54,,-108.26722094103712
55,,-175.68665557562028
56,,-87.66114146697132
57,,-135.91195996084332
58,,-99.57249893475932
59,,-154.67272136957513
60,,-146.82397510798023
61,,-101.59980151591739
62,,-143.4458529633316
63,,-157.77428183598326
64,,-123.75334484845382
65,,-139.3796883562006
66,,-105.81595195963894
67,,-126.36612525461533
68,,-93.84821448359179
69,,-76.04231490560328
70,,-125.818367614047
71,,-145.82825292376592
72,,-107.79744829309422
73,,-100.01188962790303
74,,-126.1764837340252
75,,-82.85653088356663
76,,-163.2631118028678
77,,-79.09164614544092
78,,-108.05647356319142
79,,-89.79053179852276
80,,-157.08393608367152
81,,-77.98677256397286
82,,-159.50861758598808
83,,-135.3288552346132
84,,-144.84508924034267
85,,-121.35622630769437
86,,-97.07731664603979
87,,-119.2081617239682
88,,-173.01541971935953
89,,-162.27577845847554
90,,-171.79633197197913
91,,-159.28375069750163
92,,-106.91637512249285
93,,-180.5113547092409
94,,-104.24142324201635
95,,-171.63749968548785
96,,-184.4513998916691
97,,-117.2487945640207
98,,-108.27729419180329
99,,-152.45460638559334
